2100	0.00E+00
2100.2	1.74E-01
2100.4	1.98E-01
2100.6	1.93E-01
2100.8	1.64E-01
2101	1.28E-01
2101.2	9.99E-02
2101.4	8.70E-02
2101.6	8.91E-02
2101.8	9.83E-02
2102	1.06E-01
2102.2	1.06E-01
2102.4	9.94E-02
2102.6	8.86E-02
2102.8	7.72E-02
2103	6.59E-02
2103.2	5.28E-02
2103.4	3.49E-02
2103.6	1.23E-02
2103.8	-1.08E-02
2104	-2.74E-02
2104.2	-3.11E-02
2104.4	-1.94E-02
2104.6	4.51E-03
2104.8	3.40E-02
2105	6.26E-02
2105.2	8.65E-02
2105.4	1.05E-01
2105.6	1.18E-01
2105.8	1.26E-01
2106	1.29E-01
2106.2	1.29E-01
2106.4	1.30E-01
2106.6	1.35E-01
2106.8	1.47E-01
2107	1.61E-01
2107.2	1.69E-01
2107.4	1.66E-01
2107.6	1.55E-01
2107.8	1.43E-01
2108	1.41E-01
2108.2	1.52E-01
2108.4	1.70E-01
2108.6	1.83E-01
2108.8	1.75E-01
2109	1.40E-01
2109.2	8.43E-02
2109.4	2.57E-02
2109.6	-1.73E-02
2109.8	-3.20E-02
2110	-1.90E-02
2110.2	1.08E-02
2110.4	4.19E-02
2110.6	6.39E-02
2110.8	7.30E-02
2111	7.09E-02
2111.2	5.96E-02
2111.4	4.01E-02
2111.6	1.36E-02
2111.8	-1.56E-02
2112	-4.04E-02
2112.2	-5.31E-02
2112.4	-5.24E-02
2112.6	-4.40E-02
2112.8	-3.89E-02
2113	-4.55E-02
2113.2	-6.52E-02
2113.4	-9.22E-02
2113.6	-1.17E-01
2113.8	-1.33E-01
2114	-1.38E-01
2114.2	-1.32E-01
2114.4	-1.18E-01
2114.6	-1.01E-01
2114.8	-8.14E-02
2115	-6.21E-02
2115.2	-4.36E-02
2115.4	-2.58E-02
2115.6	-7.58E-03
2115.8	1.22E-02
2116	3.37E-02
2116.2	5.49E-02
2116.4	7.19E-02
2116.6	8.09E-02
2116.8	7.94E-02
2117	6.80E-02
2117.2	4.91E-02
2117.4	2.64E-02
2117.6	3.48E-03
2117.8	-1.64E-02
2118	-2.89E-02
2118.2	-2.85E-02
2118.4	-9.85E-03
2118.6	2.93E-02
2118.8	8.44E-02
2119	1.45E-01
2119.2	2.00E-01
2119.4	2.41E-01
2119.6	2.65E-01
2119.8	2.78E-01
2120	2.86E-01
2120.2	2.94E-01
2120.4	3.01E-01
2120.6	3.04E-01
2120.8	2.96E-01
2121	2.78E-01
2121.2	2.54E-01
2121.4	2.33E-01
2121.6	2.24E-01
2121.8	2.31E-01
2122	2.51E-01
2122.2	2.71E-01
2122.4	2.74E-01
2122.6	2.50E-01
2122.8	2.00E-01
2123	1.33E-01
2123.2	6.64E-02
2123.4	1.29E-02
2123.6	-2.11E-02
